planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,distance_lightyears,num_stars,num_planets
HD 95872 b,HD 95872,Radial Velocity,2015.0,4375.0,13.0,1188.6842,103.45,72.2195,1,1
HD 96063 b,HD 96063,Radial Velocity,2011.0,362.5,13.7,403.6441,500.75,140.065,1,1
HD 96127 b,HD 96127,Radial Velocity,2011.0,638.9,13.0,1207.7479466,947.29,587.659,1,1
HD 96167 b,HD 96167,Radial Velocity,2009.0,498.04,14.0,227.88411,333.63,85.3006,2,1
HD 96700 b,HD 96700,Radial Velocity,2021.0,8.1245,2.93,8.9,1089.02,25.4111,1,3
HD 96700 c,HD 96700,Radial Velocity,2021.0,19.88,1.69,3.5,808.42,25.4111,1,3
HD 96700 d,HD 96700,Radial Velocity,2021.0,103.5,3.61,12.7,466.19,25.4111,1,3
HD 96992 b,HD 96992,Radial Velocity,2021.0,514.0,13.7,362.3262,557.72,396.082,1,1
HD 97037 b,HD 97037,Radial Velocity,2022.0,6449.08337,12.1,6707.76852973,120.99,32.413,1,1
HD 97048 b,HD 97048,Disk Kinematics,2019.0,10.671380845,13.3,794.575,63.44,183.857,1,1
HD 97658 b,HD 97658,Radial Velocity,2010.0,9.4897116,2.12,8.3,751.0,21.5618,1,1
HD 98219 b,HD 98219,Radial Velocity,2011.0,433.8,13.4,624.21812,453.77,113.704,1,1
HD 98649 b,HD 98649,Radial Velocity,2012.0,5384.0,12.5,3082.9355479,114.22,42.1727,1,1
HD 98736 b,HD 98736,Radial Velocity,2018.0,968.8,13.3,740.5439,179.53,32.4459,2,1
HD 99109 b,HD 99109,Radial Velocity,2005.0,439.29999,14.3,139.8452,239.32,54.7901,1,1
HD 99283 b,HD 99283,Radial Velocity,2021.0,310.4,13.8,308.29355479,759.06,111.093,1,1
HD 99492 b,HD 99492,Radial Velocity,2004.0,17.0503,5.44,25.5,622.27,18.2038,2,2
HD 99492 c,HD 99492,Radial Velocity,2023.0,95.233,4.42,17.9,757.0,18.2038,2,2
HD 99706 b,HD 99706,Radial Velocity,2011.0,841.0,13.7,390.9309,391.46,146.6,1,2
HD 99706 c,HD 99706,Radial Velocity,2016.0,1278.0,12.8,1808.4527,757.0,146.6,1,2
HIP 105854 b,HIP 105854,Radial Velocity,2014.0,184.2,12.6,2606.1,822.14,78.6381,1,1
HIP 107772 b,HIP 107772,Radial Velocity,2020.0,55.199,3.64,12.9,280.92,23.6434,1,1
HIP 107773 b,HIP 107773,Radial Velocity,2015.0,144.3,13.4,629.3034,957.11,105.18,1,1
HIP 109384 b,HIP 109384,Radial Velocity,2016.0,499.48,13.5,495.8148,213.83,58.9582,1,1
HIP 109600 b,HIP 109600,Radial Velocity,2016.0,232.08,13.2,851.7844,312.88,66.3361,2,1
HIP 111909 b,HIP 111909,Radial Velocity,2025.0,487.08,13.7,384.57237247,436.91,88.077,1,2
HIP 111909 c,HIP 111909,Radial Velocity,2025.0,893.63,13.9,257.44100967,357.64,88.077,1,2
HIP 113103 b,HIP 113103,Transit,2023.0,7.610303,1.829,4.0,721.0,46.2122,1,2
HIP 113103 c,HIP 113103,Transit,2023.0,14.245648,2.4,6.35,585.0,46.2122,1,2
HIP 114933 b,HIP 114933,Radial Velocity,2021.0,1481.6,13.4,616.58710958,316.81,101.766,1,1
HIP 116454 b,HIP 116454,Transit,2014.0,9.1004157,2.469,9.7,753.2,62.4491,2,1
HIP 12961 b,HIP 12961,Radial Velocity,2010.0,57.435,13.2,114.4188,303.32,23.371,1,1
HIP 14810 b,HIP 14810,Radial Velocity,2005.0,6.673892,13.0,1239.537,1048.2,50.48,1,3
HIP 14810 c,HIP 14810,Radial Velocity,2006.0,147.747,13.6,416.3573,373.22,50.48,1,3
HIP 14810 d,HIP 14810,Radial Velocity,2009.0,981.8,14.1,187.5197,198.54,50.48,1,3
HIP 18606 b,HIP 18606,Radial Velocity,2025.0,674.94,14.0,244.72787339,405.91,47.0288,1,1
HIP 19976 b,HIP 19976,Radial Velocity,2022.0,50.65905,4.94,21.61233168,378.1,40.2707,2,1
HIP 21152 b,HIP 21152,Imaging,2022.0,22000.0,12.0,7627.881768,1300.0,43.4073,2,1
HIP 29442 c,TOI-469,Radial Velocity,2023.0,3.5379559,1.551,4.5,1123.0,68.192,1,3
HIP 29442 d,TOI-469,Radial Velocity,2023.0,6.429575,1.538,5.14,920.0,68.192,1,3
HIP 34222 b,HIP 34222,Radial Velocity,2021.0,159.986,13.9,263.79757781,218.98,22.8386,1,1
HIP 35173 b,HIP 35173,Radial Velocity,2019.0,41.516,3.61,12.7,444.34,33.1562,1,1
HIP 35965 b,HIP 35965,Radial Velocity,2022.0,26125.56497,12.6,2589.98368864,48.85,50.1677,1,1
HIP 38594 b,HIP 38594,Radial Velocity,2020.0,60.722,2.77,8.1,308.29,17.7886,2,2
HIP 38594 c,HIP 38594,Radial Velocity,2020.0,3477.768,7.94,48.4,79.96,17.7886,2,2
HIP 39017 b,HIP 39017,Imaging,2024.0,31000.0,12.0,7500.7504052,91.06,66.3217,1,1
HIP 41378 b,HIP 41378,Transit,2016.0,15.571893,2.419,9.06,970.67,106.289,1,6
HIP 41378 c,HIP 41378,Transit,2016.0,31.70838,2.505,6.53,765.87,106.289,1,6
HIP 41378 d,HIP 41378,Transit,2016.0,278.3618,3.54,4.6,367.0,106.289,1,6
HIP 41378 e,HIP 41378,Transit,2016.0,369.0,4.92,12.0,335.0,106.289,1,6
HIP 41378 f,HIP 41378,Transit,2016.0,542.0797,9.2,12.0,294.0,106.289,1,6
HIP 41378 g,HIP 41378,Radial Velocity,2025.0,64.067,2.5,6.81,605.0,106.289,1,6
HIP 4845 b,HIP 4845,Radial Velocity,2020.0,34.15,3.89,14.4,358.21,21.0974,1,1
HIP 48714 b,HIP 48714,Radial Velocity,2020.0,17.818,5.11,22.9,446.47,10.5298,1,1
HIP 5158 b,HIP 5158,Radial Velocity,2009.0,345.72,13.6,451.0,219.65,51.6026,1,2
HIP 5158 c,HIP 5158,Radial Velocity,2011.0,9017.76,12.2,4780.1632,72.63,51.6026,1,2
HIP 54373 b,HIP 54373,Radial Velocity,2019.0,7.76,2.87,8.62,580.66,18.7168,1,2
HIP 54373 c,HIP 54373,Radial Velocity,2019.0,15.144,3.57,12.44,463.2,18.7168,1,2
HIP 54515 b,HIP 54515,Imaging,2026.0,33000.0,12.2,5625.5628039,100.72,82.8101,1,1
HIP 54597 b,HIP 54597,Radial Velocity,2023.0,3274.0,13.3,762.7881768,94.0,39.7429,1,1
HIP 55507 b,HIP 55507,Radial Velocity,2022.0,5138.43727,12.6,2585.53409095,76.05,25.4893,1,1
HIP 56640 b,HIP 56640,Radial Velocity,2021.0,2675.57603,12.7,2151.69831539,239.37,122.324,1,1
HIP 57274 c,HIP 57274,Radial Velocity,2011.0,32.03,14.2,130.0,437.32,25.8618,1,3
HIP 57274 d,HIP 57274,Radial Velocity,2011.0,431.7,14.2,167.4,183.59,25.8618,1,3
HIP 5763 b,HIP 5763,Radial Velocity,2021.0,30.014,14.2,162.09248757,440.9,31.9043,1,1
HIP 63242 b,HIP 63242,Radial Velocity,2013.0,124.6,12.5,2917.56,993.26,156.456,1,1
HIP 65 A b,HIP 65 A,Transit,2020.0,0.9809734,22.75427,1021.18779,1411.0,61.7856,2,1
HIP 65407 b,HIP 65407,Radial Velocity,2016.0,28.125,14.3,136.03124,610.68,61.7804,1,2
HIP 65407 c,HIP 65407,Radial Velocity,2016.0,67.3,13.9,249.17872,457.04,61.7804,1,2
HIP 65426 b,HIP 65426,Imaging,2017.0,10.671380845,16.8135,2860.47,1500.0,108.875,1,1
HIP 65891 b,HIP 65891,Radial Velocity,2015.0,1089.6,12.7,1938.7532827,429.05,150.292,1,1
HIP 66074 b,HIP 66074,Astrometry,2023.0,310.9,12.9,1589.142035,192.69,35.4438,1,1
HIP 67522 b,HIP 67522,Transit,2020.0,6.9594731,9.9872018,71.4,1175.0,127.28,1,2
